iter	F1	Logloss
0	0.8827865035	0.6591269611
1	0.8902780015	0.6245203294
2	0.9037253905	0.5950911495
3	0.9039722495	0.5661729831
4	0.9096824184	0.5364376178
5	0.9096445184	0.5145486194
6	0.9057863112	0.4981141101
7	0.9030296313	0.4783278747
8	0.9053021059	0.4637043117
9	0.9035902394	0.4475995975
10	0.903957391	0.435055218
11	0.9027472298	0.4225797703
12	0.9046225145	0.4104104208
13	0.9058245591	0.3985310459
14	0.9072311406	0.3865037153
15	0.9080444234	0.3754243687
16	0.9077553569	0.3660434932
17	0.9079314839	0.3560928998
18	0.9090998411	0.3475116953
19	0.9091032112	0.3415723177
20	0.9096722683	0.3328668607
21	0.9100616466	0.326098758
22	0.9102790211	0.3216168351
23	0.9105107227	0.314620616
24	0.9121071127	0.3089491652
25	0.9121701162	0.3032826607
26	0.9125814415	0.298652849
27	0.9129241078	0.2950390521
28	0.9127817605	0.290993497
29	0.9119804824	0.2880255541
30	0.9139981854	0.2846792702
31	0.9139400901	0.2816702866
32	0.9158365082	0.2782205824
33	0.9162465511	0.2761669523
34	0.9156853514	0.2734391315
35	0.9150243718	0.2704255075
36	0.9153334184	0.2675591131
37	0.9160045362	0.265302337
38	0.9161027816	0.2636089765
39	0.9159593041	0.2618257875
40	0.9163107402	0.2602977208
41	0.9164197359	0.2587362979
42	0.9162090825	0.2567381513
43	0.9171099044	0.2553536288
44	0.9175164609	0.253245603
45	0.9172635326	0.2514970721
46	0.9170656095	0.2504743831
47	0.9176151185	0.2492211939
48	0.9176373126	0.2481501447
49	0.9173841738	0.2462379052
50	0.9176037364	0.2446832605
51	0.917493437	0.2438084837
52	0.9172621308	0.2427119996
53	0.9178671098	0.241208236
54	0.9177678399	0.2401046091
55	0.9178886786	0.2392396155
56	0.9179872492	0.2385685736
57	0.9180201698	0.2375434894
58	0.9181520353	0.2366427224
59	0.9182399861	0.2357874033
60	0.9180200366	0.2348912181
61	0.918261726	0.2340328317
62	0.9181078288	0.2332649637
63	0.9182288586	0.2327800931
64	0.9185482592	0.2316340492
65	0.9185041715	0.2309111432
66	0.9187796284	0.2298965161
67	0.918625404	0.229344481
68	0.9188456868	0.2286059386
69	0.9189558473	0.2279180143
70	0.9194187301	0.2271776511
71	0.9194738721	0.2266889848
72	0.9193857267	0.2260014663
73	0.9194739925	0.2255404673
74	0.9197056403	0.2250486211
75	0.9196394347	0.22444729
76	0.9199703054	0.2238023934
77	0.9202678598	0.2234427175
78	0.9204003645	0.2228157108
79	0.9202349818	0.2219993643
80	0.9207863887	0.221252059
81	0.9208081695	0.2208501296
82	0.9208634503	0.2205787837
83	0.9210290798	0.2201496491
84	0.9214481747	0.2196935203
85	0.9214811839	0.2193159038
86	0.9215808813	0.2187830424
87	0.9216365935	0.2184745341
88	0.9218354051	0.2182529121
89	0.9220680702	0.2179164591
90	0.9221235083	0.217608293
91	0.9222221249	0.2172228058
92	0.9223756886	0.2167968903
93	0.9224416709	0.2164399385
94	0.9224306744	0.2158381543
95	0.9224975762	0.2154506598
96	0.9224632046	0.2148718621
97	0.9228284348	0.2143402113
98	0.9230059085	0.2140624699
99	0.9226075467	0.2137988787
100	0.9227074832	0.2133497859
101	0.9231834662	0.2130763485
102	0.9233165465	0.2127820926
103	0.9231933497	0.2121567946
104	0.923426497	0.2117901284
105	0.9233263945	0.2112119962
106	0.9233159739	0.2109509668
107	0.9234594777	0.2106345675
108	0.9233813568	0.2099776437
109	0.9236029817	0.2097409705
110	0.923602371	0.2095863621
111	0.923745856	0.2093268037
112	0.9237788216	0.2090226346
113	0.9237904454	0.20872288
114	0.9237684661	0.2083908738
115	0.9238893413	0.2080851625
116	0.9238227726	0.2079428802
117	0.9239449318	0.2077377267
118	0.923988881	0.207472992
119	0.9239449318	0.20716592
120	0.9239332891	0.2068665578
121	0.9242326212	0.2065908637
122	0.924465461	0.2063363063
123	0.9244310592	0.2059570472
124	0.9245313726	0.2057631143
125	0.924630973	0.2054541944
126	0.9247305816	0.2051162312
127	0.9246858904	0.2047774552
128	0.9248411812	0.2045577711
129	0.9249847325	0.2042149585
130	0.9251299133	0.2039267935
131	0.9250749971	0.203680711
132	0.9251966291	0.2034798297
133	0.9253630377	0.2032360242
134	0.9254179466	0.20293509
135	0.925617332	0.202689117
136	0.9256950776	0.2024364072
137	0.9259054937	0.2021802046
138	0.925972289	0.2020126738
139	0.9261168873	0.2018347153
140	0.9261727326	0.2016281454
141	0.9262395665	0.2014205035
142	0.9263173891	0.2012401899
143	0.9265289571	0.2010378823
144	0.9264950206	0.2007800052
145	0.926650733	0.2006046672
146	0.9266836664	0.200378595
147	0.926594828	0.2002432507
148	0.9267505592	0.2001317917
149	0.9266397547	0.1999252174
150	0.9268953516	0.1997816186
151	0.9267735492	0.1996355129
152	0.9268514395	0.1993470845
153	0.9268744449	0.1992078607
154	0.9269523551	0.1989796726
155	0.9271641852	0.1987992227
156	0.9271751645	0.1985292448
157	0.9271422258	0.1983954499
158	0.9273091137	0.1981775493
159	0.9272750713	0.198007423
160	0.9273519164	0.1977352309
161	0.9272860498	0.1975912497
162	0.9273749863	0.1974526907
163	0.9274188969	0.1972444756
164	0.9275089754	0.1970578128
165	0.9275309316	0.1969414271
166	0.9275638642	0.1968325858
167	0.9275089754	0.1966117766
168	0.9274529541	0.1964287869
169	0.9274760395	0.1962739441
170	0.9274968643	0.1960489584
171	0.9274616761	0.1958697692
172	0.927439726	0.1957429632
173	0.9275627227	0.1955925131
174	0.927640699	0.1954235444
175	0.9276845997	0.1952151584
176	0.927640699	0.1949953723
177	0.9278405804	0.1948907699
178	0.9281526579	0.1947392484
179	0.928085598	0.1946377878
180	0.928253883	0.1943940301
181	0.9283209716	0.194133154
182	0.928455178	0.1939645238
183	0.9285222957	0.1937894228
184	0.9286785109	0.1936633028
185	0.9285771695	0.1935227944
186	0.9286772194	0.1934112454
187	0.9287101393	0.1932716632
188	0.929000697	0.1931165202
189	0.9290336148	0.192992359
190	0.928954146	0.1928136482
191	0.9290322757	0.1926143712
192	0.9290322757	0.1924980155
193	0.9288540835	0.1923840428
194	0.9290994443	0.1921943084
195	0.9291104151	0.1920684437
196	0.9291995346	0.1919493929
197	0.9291995346	0.1918127747
198	0.9291666226	0.1916054477
199	0.9290994443	0.1914747994
200	0.9291213856	0.1912632555
201	0.9291762351	0.1910776796
202	0.9293544792	0.1908386913
203	0.9293654478	0.1906919775
204	0.929398352	0.1905441117
205	0.9291419724	0.19032948
206	0.9293887709	0.1901827084
207	0.9293997402	0.1900622602
208	0.9293435105	0.1899082871
209	0.9293421299	0.1897822814
210	0.9295327603	0.1896147471
211	0.9296562393	0.1894848644
212	0.9296562393	0.1893334823
213	0.929700111	0.1891705826
214	0.9298016937	0.1889604092
215	0.929778317	0.1887627247
216	0.9298345978	0.1885804902
217	0.930149048	0.1884318026
218	0.9299786248	0.1881760543
219	0.9301694926	0.1880242412
220	0.9302711955	0.1879012804
221	0.9302477569	0.1877974461
222	0.9304262469	0.1875176327
223	0.9305264713	0.187298078
224	0.930604774	0.1871848889
225	0.9306376687	0.186964203
226	0.9305922595	0.1868605038
227	0.9306690022	0.1867326575
228	0.9306690022	0.1866357113
229	0.9307927264	0.1865267295
230	0.9307144152	0.1864088205
231	0.9306705614	0.1863274372
232	0.9307144152	0.1861756592
233	0.9307144152	0.1859486953
234	0.9308381581	0.1857425125
235	0.9309055256	0.1856108207
236	0.9310167557	0.1854588937
237	0.9310496429	0.1853471
238	0.9311499162	0.1852285389
239	0.9313176058	0.1851283733
240	0.9313850235	0.1850198137
241	0.9315418104	0.1848860523
242	0.9315527711	0.184780144
243	0.9316092575	0.1846421622
244	0.9315308494	0.1845030038
245	0.9316986362	0.1843708842
246	0.9316986362	0.1842569012
