iter	Passed	Remaining
0	10	204678
1	18	187617
2	27	179976
3	35	177294
4	44	179339
5	53	178658
6	62	177222
7	70	177263
8	80	178898
9	88	177537
10	97	176672
11	106	177071
12	115	177566
13	123	176810
14	132	176529
15	141	177057
16	150	176698
17	158	176343
18	167	176051
19	176	176364
20	184	175626
21	191	174118
22	198	172758
23	206	171970
24	214	171399
25	223	171369
26	230	170364
27	238	169878
28	245	168890
29	252	168039
30	259	167435
31	267	166691
32	274	166245
33	281	165461
34	288	164703
35	296	164405
36	303	163688
37	311	163470
38	318	162874
39	325	162500
40	333	162383
41	341	162227
42	348	161882
43	355	161452
44	363	161189
45	371	161151
46	378	160854
47	387	161110
48	394	160781
49	402	160613
50	410	160429
51	417	160133
52	424	159699
53	446	164749
54	455	165002
55	462	164621
56	470	164589
57	478	164388
58	485	164143
59	492	163797
60	500	163664
61	508	163506
62	516	163305
63	523	163042
64	531	162874
65	539	162852
66	546	162540
67	553	162245
68	560	162023
69	568	161891
70	576	161857
71	583	161548
72	591	161353
73	598	161057
74	606	161011
75	613	160843
76	620	160588
77	627	160350
78	635	160168
79	643	160164
80	650	159993
81	657	159758
82	664	159508
83	672	159460
84	679	159297
85	686	159030
86	693	158842
87	702	158899
88	709	158752
89	717	158637
90	724	158504
91	732	158434
92	740	158474
93	747	158349
94	754	158187
95	762	158044
96	770	158057
97	777	157971
98	785	157884
99	792	157783
100	800	157676
101	808	157695
102	815	157609
103	823	157517
104	830	157405
105	838	157456
106	846	157442
107	854	157379
108	861	157275
109	870	157335
110	877	157280
111	885	157199
112	892	157121
113	900	157157
114	908	157140
115	916	157071
116	923	157005
117	931	156885
118	939	156929
119	946	156846
120	954	156751
121	961	156741
122	969	156728
123	977	156664
124	985	156657
125	992	156553
126	1000	156562
127	1009	156735
128	1017	156714
129	1024	156628
130	1032	156563
131	1039	156519
132	1047	156402
133	1054	156322
134	1062	156293
135	1069	156276
136	1077	156185
137	1084	156037
138	1091	155941
139	1098	155791
140	1106	155782
141	1113	155689
142	1120	155550
143	1127	155455
144	1135	155466
145	1142	155365
146	1149	155249
147	1156	155158
148	1165	155318
149	1173	155248
150	1180	155212
151	1188	155191
152	1196	155157
153	1203	155084
154	1210	154945
155	1217	154927
156	1225	154896
157	1233	154884
158	1240	154809
159	1248	154767
160	1255	154666
161	1263	154700
162	1270	154672
163	1278	154682
164	1286	154656
165	1294	154678
166	1302	154645
167	1309	154620
168	1317	154619
169	1324	154546
170	1332	154544
171	1340	154516
172	1348	154534
173	1356	154526
174	1364	154527
175	1371	154454
176	1378	154364
177	1385	154299
178	1393	154273
179	1400	154233
180	1407	154155
181	1415	154091
182	1422	154076
183	1429	154003
184	1436	153900
185	1444	153856
186	1451	153829
187	1459	153807
188	1467	153777
189	1474	153743
190	1482	153726
191	1489	153717
192	1498	153754
193	1505	153745
194	1513	153723
195	1520	153651
196	1528	153607
197	1535	153534
198	1542	153483
199	1549	153448
200	1558	153467
201	1565	153475
202	1573	153462
203	1581	153436
204	1587	153336
205	1595	153325
206	1603	153279
207	1610	153218
208	1617	153176
209	1625	153170
210	1632	153117
211	1640	153097
212	1647	153031
213	1655	153069
214	1662	153021
215	1669	152935
216	1676	152880
217	1683	152802
218	1691	152797
219	1699	152767
220	1706	152722
221	1713	152629
222	1720	152572
223	1728	152605
224	1735	152542
225	1743	152537
226	1750	152464
227	1758	152468
228	1765	152437
229	1773	152481
230	1781	152420
231	1788	152404
232	1795	152356
233	1802	152261
234	1809	152204
235	1817	152185
236	1825	152198
237	1832	152140
238	1839	152098
239	1847	152071
240	1854	152054
241	1862	152033
242	1869	151999
243	1876	151939
244	1884	151935
245	1892	151933
246	1899	151913
247	1906	151861
248	1914	151855
249	1922	151873
250	1929	151831
251	1936	151763
252	1943	151709
253	1951	151738
254	1959	151764
255	1967	151724
256	1974	151691
257	1981	151659
258	1989	151673
259	1998	151694
260	2005	151650
261	2012	151608
262	2019	151589
263	2027	151559
264	2034	151515
265	2041	151471
266	2048	151422
267	2056	151426
268	2064	151404
269	2071	151375
270	2078	151319
271	2086	151314
272	2093	151300
273	2101	151261
274	2107	151182
275	2114	151123
276	2122	151136
277	2130	151140
278	2137	151090
279	2144	151034
280	2152	151020
281	2159	150997
282	2166	150929
283	2173	150864
284	2180	150841
285	2188	150869
286	2196	150840
287	2203	150789
288	2210	150792
289	2218	150763
290	2225	150728
291	2232	150691
292	2240	150664
293	2247	150614
294	2254	150603
295	2262	150583
296	2269	150534
297	2276	150512
298	2283	150469
299	2292	150508
300	2299	150458
301	2305	150388
302	2312	150349
303	2320	150359
304	2332	150622
305	2342	150758
306	2356	151136
307	2373	151720
308	2382	151805
309	2392	151990
310	2402	152104
311	2418	152600
312	2431	152935
313	2441	153083
314	2449	153082
315	2464	153532
316	2478	153867
317	2490	154118
318	2502	154423
319	2519	154956
320	2528	155006
321	2539	155207
322	2555	155681
323	2566	155879
324	2577	156063
325	2593	156512
326	2606	156826
327	2615	156850
328	2629	157196
329	2646	157718
330	2655	157805
331	2665	157895
332	2680	158330
333	2693	158614
334	2704	158758
335	2711	158704
336	2719	158661
337	2726	158625
338	2733	158557
339	2740	158486
340	2747	158419
341	2755	158367
342	2762	158308
343	2769	158262
344	2778	158304
345	2785	158246
346	2793	158216
347	2800	158141
348	2807	158095
349	2815	158048
350	2822	158009
351	2829	157938
352	2836	157881
353	2844	157856
354	2852	157831
355	2859	157813
356	2867	157786
357	2875	157767
358	2883	157780
359	2892	157778
360	2899	157754
361	2907	157711
362	2916	157780
363	2927	157900
364	2935	157922
365	2943	157881
366	2954	158063
367	2962	158048
368	2970	158011
369	2977	157985
370	2985	157953
371	2995	158034
372	3002	157991
373	3009	157946
374	3019	158041
375	3027	158002
376	3034	157962
377	3042	157927
378	3050	157947
379	3058	157893
380	3066	157908
381	3073	157847
382	3081	157842
383	3089	157809
384	3096	157753
385	3103	157724
386	3113	157778
387	3121	157775
388	3129	157750
389	3136	157724
390	3145	157728
391	3153	157761
392	3161	157725
393	3169	157694
394	3176	157659
395	3184	157647
396	3192	157660
397	3200	157648
398	3208	157629
399	3217	157662
400	3225	157646
401	3233	157638
402	3241	157631
403	3249	157634
404	3257	157617
405	3265	157613
406	3273	157573
407	3280	157548
408	3287	157494
409	3295	157448
410	3302	157398
411	3309	157348
412	3316	157295
413	3324	157268
414	3331	157201
415	3338	157175
416	3346	157145
417	3353	157098
418	3360	157048
419	3367	157008
420	3375	156969
421	3382	156948
422	3390	156922
423	3397	156864
424	3404	156813
425	3411	156774
426	3419	156736
427	3426	156697
428	3435	156715
429	3443	156719
430	3452	156743
431	3460	156726
432	3467	156714
433	3475	156690
434	3484	156733
435	3493	156758
436	3501	156730
437	3509	156757
438	3518	156785
439	3526	156753
440	3533	156722
441	3541	156717
442	3550	156729
443	3557	156701
444	3564	156656
445	3572	156629
446	3580	156625
447	3587	156585
448	3595	156569
449	3603	156554
450	3611	156565
451	3620	156575
452	3627	156548
453	3636	156563
454	3645	156581
455	3652	156565
456	3660	156556
457	3668	156541
458	3677	156548
459	3684	156520
460	3692	156497
461	3700	156488
462	3707	156428
463	3714	156406
464	3722	156374
465	3729	156352
466	3737	156308
467	3744	156278
468	3752	156259
469	3758	156196
470	3765	156135
471	3772	156082
472	3779	156040
473	3786	155995
474	3794	155955
475	3800	155889
476	3807	155851
477	3815	155830
478	3822	155776
479	3829	155721
480	3836	155678
481	3843	155635
482	3850	155588
483	3857	155544
484	3864	155495
485	3871	155446
486	3879	155433
487	3887	155424
488	3894	155372
489	3901	155329
490	3908	155299
491	3915	155268
492	3922	155214
493	3929	155175
494	3936	155119
495	3944	155101
496	3951	155063
497	3958	155025
498	3965	154982
499	3972	154937
500	3980	154914
501	3987	154863
502	3994	154832
503	4001	154786
504	4009	154775
505	4016	154723
506	4023	154676
507	4029	154622
508	4036	154573
509	4044	154560
510	4051	154524
511	4058	154473
512	4065	154438
513	4072	154399
514	4080	154395
515	4088	154369
516	4094	154313
517	4101	154262
518	4109	154235
519	4116	154207
520	4123	154161
521	4130	154110
522	4137	154074
523	4145	154077
524	4153	154064
525	4160	154024
526	4167	153983
527	4174	153961
528	4182	153936
529	4190	153938
530	4197	153899
531	4205	153889
532	4212	153869
533	4219	153829
534	4227	153808
535	4234	153776
536	4242	153755
537	4249	153741
538	4256	153692
539	4264	153681
540	4272	153659
541	4280	153661
